country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
USA,40.15307,-74.7738,297.31,0.77,0.77,2023-10-03,542,N,VIIRS,n,2.0NRT,285.72,0.38,N
USA,40.6357,-74.22501,301.66,0.73,0.76,2023-10-03,542,N,VIIRS,n,2.0NRT,288.48,2.33,N
USA,40.48178,-74.32354,297.49,0.43,0.46,2023-10-03,722,N,VIIRS,n,2.0NRT,285.77,0.54,N
USA,40.636,-74.22075,309.46,0.44,0.46,2023-10-03,722,N,VIIRS,n,2.0NRT,291.67,2.88,N
USA,40.71808,-75.39719,297.64,0.38,0.43,2023-10-03,722,N,VIIRS,n,2.0NRT,287.45,0.98,N
USA,40.7282,-75.30348,298.59,0.39,0.44,2023-10-03,722,N,VIIRS,n,2.0NRT,286.91,0.63,N
USA,42.27621,-83.1272,300.19,0.4,0.37,2023-10-03,722,N,VIIRS,n,2.0NRT,287.3,0.55,N
USA,42.28088,-83.11111,304.09,0.4,0.37,2023-10-03,722,N,VIIRS,n,2.0NRT,289.95,1.02,N
USA,42.28423,-83.11025,305.31,0.4,0.37,2023-10-03,722,N,VIIRS,n,2.0NRT,288.66,0.54,N
USA,42.29166,-83.16302,309.57,0.4,0.37,2023-10-03,722,N,VIIRS,n,2.0NRT,289.77,1.75,N
USA,42.29636,-83.17178,329.93,0.4,0.37,2023-10-03,722,N,VIIRS,n,2.0NRT,291.02,2.85,N
USA,42.29768,-83.1565,328.83,0.4,0.37,2023-10-03,722,N,VIIRS,n,2.0NRT,291.28,1.87,N
USA,42.30103,-83.15563,301.55,0.4,0.37,2023-10-03,722,N,VIIRS,n,2.0NRT,288.7,1.87,N
USA,42.30506,-83.15958,301.31,0.4,0.37,2023-10-03,722,N,VIIRS,n,2.0NRT,289.76,0.46,N
USA,42.30794,-78.71561,315.78,0.41,0.37,2023-10-03,722,N,VIIRS,n,2.0NRT,285.26,1.09,N
USA,42.31133,-78.7146,328.1,0.41,0.37,2023-10-03,722,N,VIIRS,n,2.0NRT,287.83,3.05,N
USA,42.72437,-83.25993,306.97,0.4,0.37,2023-10-03,722,N,VIIRS,n,2.0NRT,286.84,0.53,N
USA,42.82032,-86.00214,299.87,0.48,0.4,2023-10-03,722,N,VIIRS,n,2.0NRT,286.25,0.84,N
USA,42.82197,-86.00105,310.54,0.48,0.4,2023-10-03,722,N,VIIRS,n,2.0NRT,288.33,1.17,N
USA,43.18623,-84.84308,325.4,0.44,0.39,2023-10-03,722,N,VIIRS,n,2.0NRT,287.25,2.13,N
USA,43.70197,-88.38407,303.3,0.42,0.45,2023-10-03,722,N,VIIRS,n,2.0NRT,288.44,1.28,N
USA,43.70294,-88.38784,305.5,0.42,0.45,2023-10-03,722,N,VIIRS,n,2.0NRT,288.79,0.86,N
USA,44.52389,-88.01385,299.55,0.41,0.45,2023-10-03,722,N,VIIRS,n,2.0NRT,289.18,0.68,N
USA,44.76634,-93.04307,296.06,0.36,0.57,2023-10-03,722,N,VIIRS,n,2.0NRT,284.67,0.4,N
USA,45.06514,-84.83014,297.39,0.46,0.39,2023-10-03,722,N,VIIRS,n,2.0NRT,286.81,0.88,N
USA,45.07034,-83.40739,298.77,0.42,0.38,2023-10-03,722,N,VIIRS,n,2.0NRT,288.16,1.59,N
USA,45.07378,-83.40652,316.21,0.42,0.38,2023-10-03,722,N,VIIRS,n,2.0NRT,291.2,1.59,N
USA,45.31584,-85.29884,302.27,0.48,0.4,2023-10-03,722,N,VIIRS,n,2.0NRT,288.68,0.85,N
USA,45.97227,-85.87717,297.93,0.52,0.41,2023-10-03,722,N,VIIRS,n,2.0NRT,287.38,0.62,N
USA,46.51568,-84.39468,316.23,0.46,0.39,2023-10-03,722,N,VIIRS,n,2.0NRT,287.46,2.48,N
USA,46.51792,-84.38173,298.39,0.46,0.39,2023-10-03,722,N,VIIRS,n,2.0NRT,286,1.56,N
USA,46.52084,-84.37478,331.94,0.46,0.39,2023-10-03,722,N,VIIRS,n,2.0NRT,291.3,4.19,N
USA,46.7283,-92.08023,299.56,0.33,0.56,2023-10-03,722,N,VIIRS,n,2.0NRT,286.16,0.59,N
USA,46.73348,-92.07973,303.76,0.33,0.56,2023-10-03,722,N,VIIRS,n,2.0NRT,287.37,0.73,N
USA,35.50496,-80.33144,307.41,0.44,0.38,2023-10-03,724,N,VIIRS,n,2.0NRT,288.34,1.05,N
USA,35.64619,-80.82964,298.95,0.42,0.38,2023-10-03,724,N,VIIRS,n,2.0NRT,286.28,0.4,N
USA,35.97874,-83.95415,300.41,0.39,0.36,2023-10-03,724,N,VIIRS,n,2.0NRT,289.58,1.57,N
USA,35.97939,-83.9584,332.53,0.39,0.36,2023-10-03,724,N,VIIRS,n,2.0NRT,289.99,1.57,N
USA,36.22424,-83.71591,297.01,0.38,0.36,2023-10-03,724,N,VIIRS,n,2.0NRT,286.98,0.47,N
USA,36.36034,-83.73861,298.72,0.38,0.36,2023-10-03,724,N,VIIRS,n,2.0NRT,286.49,0.42,N
USA,36.63155,-82.24487,297.51,0.39,0.36,2023-10-03,724,N,VIIRS,n,2.0NRT,286.08,0.36,N
USA,36.78422,-87.03929,313.06,0.46,0.39,2023-10-03,724,N,VIIRS,n,2.0NRT,287.38,1.33,N
USA,36.7938,-78.35984,296.83,0.5,0.41,2023-10-03,724,N,VIIRS,n,2.0NRT,286.49,0.46,N
USA,36.80413,-86.80843,298.33,0.45,0.39,2023-10-03,724,N,VIIRS,n,2.0NRT,287.61,0.57,N
USA,36.95795,-89.76469,298.91,0.41,0.45,2023-10-03,724,N,VIIRS,n,2.0NRT,288.42,0.65,N
USA,36.97275,-84.58356,300.09,0.39,0.37,2023-10-03,724,N,VIIRS,n,2.0NRT,287.93,0.41,N
USA,37.03213,-88.9349,300.91,0.56,0.43,2023-10-03,724,N,VIIRS,n,2.0NRT,289.07,0.99,N
USA,37.0339,-88.93369,306.05,0.56,0.43,2023-10-03,724,N,VIIRS,n,2.0NRT,289.07,1.73,N
USA,37.23342,-82.03752,323.21,0.39,0.36,2023-10-03,724,N,VIIRS,n,2.0NRT,288.07,1.68,N
USA,37.23413,-82.04186,312.7,0.39,0.36,2023-10-03,724,N,VIIRS,n,2.0NRT,288.06,1.68,N
USA,37.23671,-82.03665,298.11,0.39,0.36,2023-10-03,724,N,VIIRS,n,2.0NRT,286.36,0.39,N
USA,37.27147,-79.99846,298.13,0.43,0.38,2023-10-03,724,N,VIIRS,n,2.0NRT,287.11,0.78,N
USA,37.27491,-79.99749,309.12,0.43,0.38,2023-10-03,724,N,VIIRS,n,2.0NRT,287.95,1.12,N
USA,37.38133,-80.66193,307.49,0.41,0.37,2023-10-03,724,N,VIIRS,n,2.0NRT,285.78,0.46,N
USA,37.38248,-80.66434,315.77,0.41,0.37,2023-10-03,724,N,VIIRS,n,2.0NRT,286.53,1.25,N
USA,37.38471,-80.661,301.39,0.41,0.37,2023-10-03,724,N,VIIRS,n,2.0NRT,285.62,0.46,N
USA,37.46001,-79.99313,299.04,0.43,0.38,2023-10-03,724,N,VIIRS,n,2.0NRT,286.71,0.43,N
USA,37.52789,-86.45652,308.64,0.44,0.39,2023-10-03,724,N,VIIRS,n,2.0NRT,287.18,0.83,N
USA,37.66034,-87.55895,302.23,0.49,0.4,2023-10-03,724,N,VIIRS,n,2.0NRT,288.32,0.74,N
USA,37.72414,-81.50273,327.09,0.39,0.36,2023-10-03,724,N,VIIRS,n,2.0NRT,287.29,1.89,N
USA,37.78645,-92.73196,296.59,0.6,0.53,2023-10-03,724,N,VIIRS,n,2.0NRT,276.62,1.75,N
USA,37.78721,-92.73322,295.78,0.6,0.53,2023-10-03,724,N,VIIRS,n,2.0NRT,275.95,1.51,N
USA,37.96856,-90.0778,318.39,0.43,0.46,2023-10-03,724,N,VIIRS,n,2.0NRT,290.48,2.77,N
USA,37.97613,-90.06666,300.96,0.43,0.46,2023-10-03,724,N,VIIRS,n,2.0NRT,289.45,1.48,N
USA,38.00787,-90.08215,316.73,0.43,0.46,2023-10-03,724,N,VIIRS,n,2.0NRT,291.17,2.21,N
USA,38.01025,-90.08063,313.96,0.43,0.46,2023-10-03,724,N,VIIRS,n,2.0NRT,291.81,1.9,N
USA,38.17926,-90.33687,304.87,0.45,0.47,2023-10-03,724,N,VIIRS,n,2.0NRT,290.66,0.7,N
USA,38.41566,-80.12756,298.74,0.42,0.37,2023-10-03,724,N,VIIRS,n,2.0NRT,282.81,0.54,N
USA,38.46525,-91.75021,299.17,0.54,0.51,2023-10-03,724,N,VIIRS,n,2.0NRT,288.43,0.86,N
USA,38.49855,-83.85522,315.15,0.39,0.36,2023-10-03,724,N,VIIRS,n,2.0NRT,286.18,1.06,N
USA,38.54514,-87.23423,306.71,0.49,0.4,2023-10-03,724,N,VIIRS,n,2.0NRT,288.79,1.21,N
USA,38.59611,-82.83433,307.13,0.38,0.36,2023-10-03,724,N,VIIRS,n,2.0NRT,289.15,0.89,N
USA,38.59804,-82.82473,321.56,0.38,0.36,2023-10-03,724,N,VIIRS,n,2.0NRT,288.65,2.17,N
USA,38.59872,-82.82912,322.63,0.38,0.36,2023-10-03,724,N,VIIRS,n,2.0NRT,291.71,2.17,N
USA,38.60133,-82.82391,321.88,0.38,0.36,2023-10-03,724,N,VIIRS,n,2.0NRT,290.29,1.59,N
USA,38.69586,-90.13178,317.31,0.45,0.47,2023-10-03,724,N,VIIRS,n,2.0NRT,293.89,2.34,N
USA,38.75998,-84.99529,312.93,0.41,0.37,2023-10-03,724,N,VIIRS,n,2.0NRT,289.97,0.84,N
USA,38.76062,-85.00006,299.19,0.41,0.37,2023-10-03,724,N,VIIRS,n,2.0NRT,288.65,0.84,N
USA,38.76144,-78.06569,297.79,0.48,0.4,2023-10-03,724,N,VIIRS,n,2.0NRT,286.13,0.96,N
USA,38.76404,-84.99933,303.17,0.41,0.37,2023-10-03,724,N,VIIRS,n,2.0NRT,288.68,0.84,N
USA,38.76471,-78.06815,297.28,0.48,0.4,2023-10-03,724,N,VIIRS,n,2.0NRT,286.48,0.79,N
USA,38.77811,-79.39506,304.72,0.43,0.38,2023-10-03,724,N,VIIRS,n,2.0NRT,283.71,0.9,N
USA,38.83369,-84.24142,308.39,0.4,0.37,2023-10-03,724,N,VIIRS,n,2.0NRT,286.74,1.64,N
USA,38.83527,-90.06202,304.7,0.44,0.46,2023-10-03,724,N,VIIRS,n,2.0NRT,292.29,1.37,N
USA,38.83704,-84.24066,333.4,0.4,0.37,2023-10-03,724,N,VIIRS,n,2.0NRT,290.92,4.16,N
